Event Name,Date,Month,Venue,Venue2,Level of Licence,WA,Entry Details,Licence Number,Longitude,Latitude
Oxford University AC Cuppers,23-Apr,Apr,Iffley Road Athletics Track (OU),Oxford,1,,,OUT 23/351,-1.2445625,51.7455625
Southern Counties VAC League - Hampshire Division,24-Apr,Apr,Mountbatten Centre,Portsmouth,1,,https://www.hampshirevetsleague.org.uk/,OUT 23/133,-1.082616998,50.82464535
Manx Harriers Track 10000m Run & 5000m/10000m Walk,24-Apr,Apr,National Sports Centre (IOM),Douglas,1,,,OUT 23/186,-4.504653,54.152616
Wirral AC Open Meeting (Mini Series) ,24-Apr,Apr,The Oval Stadium,Bebington,1,,https://www.race-results.co.uk/results/2023/,OUT 23/235,-3.0098125,53.3579375
Blackheath & Bromley Harriers AC Spring Open,24-Apr,Apr,Norman Park Athletic Track,Bromley,2,WA F,https://entry4sports.co.uk/#/showentries,OUT 23/263,0.0213125,51.3868125
Southern Counties VAC League - Western,24-Apr,Apr,Oxford Horspath Athletics Stadium,Horspath,1,,,OUT 23/316,-1.1871875,51.7374375
Southern Counties Veterans League - South London Division,24-Apr,Apr,Weir Archer Athletics Track (Kingsmeadow),Kingston,1,,,OUT 23/325,-0.2836903,51.4052927
Peterborough & Nene Valley AC Vault Night,25-Apr,Apr,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13232,OUT 23/043,-0.233043,52.570904
Corby AC Open Meeting,25-Apr,Apr,Rockingham Triangle Sports Stadium (Corby),Corby,1,,https://entry4sports.co.uk/#/show-entry/414,OUT 23/135,-0.71468749,52.5070625
Exeter Evening Open Meeting,25-Apr,Apr,Exeter Arena,Exeter,1,,https://exeterharriers.org.uk/events/exeter-open-competitions/,OUT 23/342,-3.491320974,50.73765245
BMC Regional - Exeter,25-Apr,Apr,Exeter Arena,Exeter,1,,https://www.britishmilersclub.com/,OUT 23/344,-3.491320974,50.73765245
Waverley Summer Jumps,25-Apr,Apr,Woolmer Hill Recreation Ground,Haslemere,1,,,OUT 23/348,-0.74831249,51.0944375
Highgate Harriers Open Meeting,26-Apr,Apr,Parliament Hill Fields Track,Parliament Hill,1,,,OUT 23/077,-0.1556875,51.5570625
Oxon & Bucks Midweek Open Meeting,26-Apr,Apr,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.rosterathletics.com/,OUT 23/114,-1.1871875,51.7374375
North East Grand Prix,26-Apr,Apr,Monkton Stadium,Jarrow,1,,https://necaa.weebly.com/,OUT 23/157,-1.497931582,54.9656323
Wirral AC Open Meeting (Mini Series) ,26-Apr,Apr,The Oval Stadium,Bebington,1,,https://www.race-results.co.uk/results/2023/,OUT 23/236,-3.0098125,53.3579375
Bury AC Track Mile & Open Meeting,26-Apr,Apr,Market Street Athletics Track,Bury,1,,https://www.race-results.co.uk/results/2023/,OUT 23/237,-2.323851,53.591353
Midland Veterans League - East,26-Apr,Apr,Paula Radcliffe Athletics Stadium,Loughborough,1,,https://mvtfl.wordpress.com/,OUT 23/319,-1.230372,52.769183
Derby Day - UEA ,26-Apr,Apr,Sportspark at UEA,Norwich,1,,,OUT 23/336,1.2410625,52.6238125
Natasha Lewis Open,26-Apr,Apr,University of Bath Athletics Track,Bath,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13568,OUT 23/343,-2.3221875,51.3778125
Shropshire Young Athletes League,27-Apr,Apr,Telford Athletics Stadium,Telford,1,,,OUT 23/310,-2.449812,52.7073978
Shropshire Young Athlete's League,27-Apr,Apr,Telford Athletics Stadium,Telford,1,,,OUT 23/353,-2.449812,52.7073978
Comeback #3 5000m (with FNUL) ,28-Apr,Apr,Millenium Arena Battersea Park,Battersea Park,2,WA F,https://data.opentrack.run/en-gb/x/2023/GBR/comeback3/,OUT 23/098,-0.146969,51.47698
Sussex Under 13 League East,28-Apr,Apr,Withdean Stadium,Brighton,1,,,OUT 23/306,-0.1593261361,50.85215175
Sussex Under 13 League West,28-Apr,Apr,"The Bridge Leisure Centre, Horsham",Horsham,1,,,OUT 23/307,-0.3600625,51.0650625
"scottishathletics 10,000m Championships",28-Apr,Apr,Crownpoint Sports Complex,Crownpoint,2,WA F,,OUT 23/324,-4.2218125,55.8536875
South London Athletics Network  April Time Open ,29-Apr,Apr,Woodcote High School,Coulsdon,1,,https://data.opentrack.run/en-gb/x/2023/GBR/slanapr/ ,OUT 23/054,-0.1422829051,51.33016
West Suffolk Steeplechase Festival,29-Apr,Apr,West Suffolk Athletics Arena,Bury St. Edmunds,1,,,OUT 23/080,0.6994769977,52.25094525
Somerset County Combined Events Championships,29-Apr,Apr,Bill Whistlecroft Stadium (Yeovil Athletics Arena),Yeovil,2,WA F,https://www.somersetschoolsathletics.org.uk/,OUT 23/113,-2.6318629,50.9420451
Doncaster Open Meeting,29-Apr,Apr,Keepmoat Stadium,Doncaster,1,,,OUT 23/189,-1.113771303,53.50977845
Track Mile Festival by Ealing Eagles X Savills,29-Apr,Apr,Perivale Park Athletic Track,Perivale,1,,https://www.eventrac.co.uk/e/track-mile-festival-by-ealing-eagles-x-savills-9422,OUT 23/259,-0.33712,51.532246
Gloucestershire County Championships,29-Apr,Apr,Blackbridge Athletics Track,Gloucester,1,,https://www.athletics4u.co.uk/track-and-field/,OUT 23/309,-2.235105,51.853862
Derbyshire Mini League,29-Apr,Apr,Moorways Athletics Stadium,Derby,1,,,OUT 23/329,-1.457212,52.891228
BUCS Outdoor Athletics Championships,29-Apr,Apr,Manchester Regional Athletics Arena,Sportcity,2,WA F,https://www.bucs.org.uk/events-page/athletics-outdoor-championships-2022-23.html ,OUT 23/346,-2.2039375,53.4838125
Kent Young Athletes League Division 1,29-Apr,Apr,Norman Park Athletic Track,Bromley,1,,,OUT 23/357,0.0213125,51.3868125
Kent Young Athletes League Division 2,29-Apr,Apr,Norman Park Athletic Track,Bromley,1,,,OUT 23/357,0.0213125,51.3868125
Boston Open Pentathlon,30-Apr,Apr,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/051,-0.069759,52.9771639
South West Athletics League,30-Apr,Apr,Exeter Arena,Exeter,1,,,OUT 23/055,-3.491320974,50.73765245
Somerset County Combined Events Championships,30-Apr,Apr,Bill Whistlecroft Stadium (Yeovil Athletics Arena),Yeovil,2,WA F,https://www.somersetschoolsathletics.org.uk/,OUT 23/113,-2.6318629,50.9420451
Oxfordshire League,30-Apr,Apr,Oxford Horspath Athletics Stadium,Horspath,1,,https://oxfordshireathletics.org.uk/track-and-field,OUT 23/117,-1.1871875,51.7374375
East Anglian League,30-Apr,Apr,Cambridge University Athletics Track,Cambridge,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,0.098906,52.206767
East Anglian League,30-Apr,Apr,Sportspark at UEA,Norwich,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,1.2410625,52.6238125
East Anglian League,30-Apr,Apr,West Suffolk Athletics Arena,Bury St. Edmunds,1,,http://cambsathletics.org.uk/east-anglian-tf-league/,OUT 23/124,0.6994769977,52.25094525
UK Youth Development League Upper - Midlands Premier N/E,30-Apr,Apr,Harvey Hadden Athletic Stadium,Nottingham,1,,https://www.ukydl.org.uk/,OUT 23/129,-1.216395,52.968063
UK Youth Development League Upper - Midlands Premier South/West,30-Apr,Apr,Yate Outdoor Sports Complex,Yate,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.4243125,51.55581249
UK Youth Development League Upper - Midlands South/West A,30-Apr,Apr,Yate Outdoor Sports Complex,Yate,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.4243125,51.55581249
UK Youth Development League Upper - Midlands North/East 1A,30-Apr,Apr,Northwood Stadium,Stoke,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.159532933,53.02656235
UK Youth Development League Upper - Midlands North/East 1B,30-Apr,Apr,Telford Athletics Stadium,Telford,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.449812,52.7073978
UK Youth Development League Upper - Midlands North/East 1C,30-Apr,Apr,Telford Athletics Stadium,Telford,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.449812,52.7073978
UK Youth Development League Upper - Northern Premier East,30-Apr,Apr,Costello Stadium,Hull,1,,https://www.ukydl.org.uk/,OUT 23/129,-0.4107359,53.7372742
UK Youth Development League Upper - Northern Premier West,30-Apr,Apr,Wavertree Athletic Track,Liverpool,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.9239375,53.3958125
UK Youth Development League Upper - Northern West 1 - no hammer/discus,30-Apr,Apr,Ellesmere Port Sports Village,Ellesmere Port,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.894311448,53.26567295
UK Youth Development League Upper - Northern West 2,30-Apr,Apr,Leigh Sports Village,Leigh,1,,https://www.ukydl.org.uk/,OUT 23/129,-2.5305682,53.4883788
UK Youth Development League Upper - Southern Premier,30-Apr,Apr,Dacorum Athletics Track (Jarman Park),Hemel Hempstead,1,,https://www.ukydl.org.uk/,OUT 23/129,-0.457736,51.746359
UK Youth Development League Upper - Southern 1A,30-Apr,Apr,Kings Park Athletic Track,Bournemouth,1,,https://www.ukydl.org.uk/,OUT 23/129,-1.8339375,50.7334375
UK Youth Development League Upper - Southern 2A,30-Apr,Apr,Ridlins Wood Athletics Track,Stevenage,1,,https://www.ukydl.org.uk/,OUT 23/129,-0.2027155,51.9016663
UK Youth Development League Upper - Southern 1B,30-Apr,Apr,Tonbridge School Athletics Track,Tonbridge,1,,https://www.ukydl.org.uk/,OUT 23/129,0.275167,51.200872
UK Youth Development League Upper - Southern 2B,30-Apr,Apr,Lewes Community Athletics Track,Lewes,1,,https://www.ukydl.org.uk/,OUT 23/129,0.018633,50.868186
Yorkshire & District League 1,30-Apr,Apr,Princess Mary Athletic Stadium,Cleckheaton,1,,,OUT 23/146,-1.7140939,53.7264346
Yorkshire & District League Division 2,30-Apr,Apr,Princess Mary Athletic Stadium,Cleckheaton,1,,,OUT 23/146,-1.7140939,53.7264346
Charles Stuart Open Graded Meeting,30-Apr,Apr,Middlesbrough Sports Village,Middlesbrough,1,,https://necaa.weebly.com/,OUT 23/149,-1.210556246,54.54434965
scottishathletics Throws & Jumps Grand Prix 1,30-Apr,Apr,Queens Park Athletics Stadium,Inverness,2,WA F,,OUT 23/154,-4.225739,57.4790124
Aztec Track & Field Series,30-Apr,Apr,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
Southampton AC Invitation Jumps Event,30-Apr,Apr,Southampton Sports Centre (Bassett Outdoor),Southampton,1,,https://www.southamptonathleticclub.org.uk/wordpress/,OUT 23/298,-1.419689,50.937383
Warrington AC Junior Open Meeting,30-Apr,Apr,Victoria Park Arena,Warrington,1,,https://www.trybooking.co.uk/CENA,OUT 23/315,-2.573880055,53.38632335
BUCS Outdoor Athletics Championships,30-Apr,Apr,Manchester Regional Athletics Arena,Sportcity,2,WA F,https://www.bucs.org.uk/events-page/athletics-outdoor-championships-2022-23.html ,OUT 23/346,-2.2039375,53.4838125
Trafford Medal Meetings,1-May,May,Longford Park Athletics Stadium,Stretford,1,,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/022,-2.28935,53.44636
Hampshire Multi Events & Quadkids,1-May,May,Mountbatten Centre,Portsmouth,1,,https://hampshireathletics.org.uk/events/tfc.html,OUT 23/274,-1.082616998,50.82464535
Brewer Memorial Games,1-May,May,Blackbridge Athletics Track,Gloucester,1,,https://www.race-results.co.uk/results/2023/,OUT 23/275,-2.235105,51.853862
Hertfordshire & Bedfordshire County Championships,1-May,May,Ridlins Wood Athletics Track,Stevenage,1,,http://hertscaaa.org.uk/,OUT 23/308,-0.2027155,51.9016663
BUCS Outdoor Athletics Championships,1-May,May,Manchester Regional Athletics Arena,Sportcity,2,WA F,https://www.bucs.org.uk/events-page/athletics-outdoor-championships-2022-23.html ,OUT 23/346,-2.2039375,53.4838125
Derby Athletics Development Association Midweek Opens,2-May,May,Moorways Athletics Stadium,Derby,1,,,OUT 23/109,-1.457212,52.891228
North Yorkshire & South Durham Series,2-May,May,Middlesbrough Sports Village,Middlesbrough,1,,http://www.nysd.org.uk/category/track-field/,OUT 23/213,-1.210556246,54.54434965
Tonbridge Athletic Club Evening Open Meeting,2-May,May,Tonbridge School Athletics Track,Tonbridge,1,,https://data.opentrack.run/en-gb/x/2023/GBR/tacdev1/,OUT 23/317,0.275167,51.200872
Watford Harriers Open Graded Meetings,3-May,May,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,3-May,May,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
Brighton BMC Regional Race,3-May,May,Withdean Stadium,Brighton,1,,https://www.britishmilersclub.com/,OUT 23/287,-0.1593261361,50.85215175
RJT & NMAC Series Sheffield 2023,3-May,May,Shu City Athletics Stadium (Woodburn Road),Sheffield,1,,https://www.race-results.co.uk/results/2023/67,OUT 23/295,-1.4324375,53.3894375
Achilles Schools Relays,4-May,May,Iffley Road Athletics Track (OU),Oxford,1,,,OUT 23/217,-1.2445625,51.7455625
Tommy Clay Development Meeting,5-May,May,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
Coronation Open Meeting,5-May,May,Down Grange Athletic Track,Basingstoke,1,,https://data.opentrack.run/en-gb/x/2023/GBR/basingstoke-may-open-event/,OUT 23/260,-1.1265625,51.2483125
Southern Counties Veterans AC Kent Division 1,5-May,May,Sutcliffe Park Athletics Track,Eltham,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.0541253,51.4505687
Southern Counties Veterans AC Kent Division 2,5-May,May,Sutcliffe Park Athletics Track,Eltham,1,,http://www.scvac.org.uk/track.htm,OUT 23/286,0.0541253,51.4505687
Berkshire Schools Combined Events Championships,5-May,May,Palmer Park Athletic Track,Reading,1,,,OUT 23/358,-0.9696512,51.456659
Peterborough & Nene Valley AC Throws Sunday ,7-May,May,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13233,OUT 23/041,-0.233043,52.570904
Huntingdonshire AC Club Championships,7-May,May,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,,OUT 23/272,-0.092947,52.336512
Middlesex Young Athletes League,7-May,May,Perivale Park Athletic Track,Perivale,1,,,OUT 23/277,-0.33712,51.532246
Be Fit Today Track Academy Outdoor Series 2,7-May,May,Lee Valley Athletics Centre - Outdoor,Lee Valley,2,WA F,,OUT 23/280,-0.038032,51.629996
UK Youth Development League Lower - Midland Premier North/East,7-May,May,Stantonbury Stadium,Milton Keynes,1,,https://www.ukydl.org.uk/,OUT 23/311,-0.769329,52.058685
UK Youth Development League Lower - Midland Premier South/West,7-May,May,Carmarthen Leisure Centre Track,Carmarthen,1,,https://www.ukydl.org.uk/,OUT 23/311,-4.320243,51.843365
UK Youth Development League Lower - Midland North/East A,7-May,May,Moorways Athletics Stadium,Derby,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.457212,52.891228
UK Youth Development League Lower - Midland North/East B,7-May,May,Tamworth Athletics Track,Tamworth,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.6671875,52.6188125
UK Youth Development League Lower - Midland North/East C,7-May,May,Tamworth Athletics Track,Tamworth,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.6671875,52.6188125
UK Youth Development League Lower - Midland North/East D,7-May,May,Nunnery Wood Sports Complex,Worcester,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.187315871,52.18499495
UK Youth Development League Lower - Midland North/East E,7-May,May,Nunnery Wood Sports Complex,Worcester,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.187315871,52.18499495
UK Youth Development League Lower - Midland South/West A,7-May,May,Blackbridge Athletics Track,Gloucester,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.235105,51.853862
UK Youth Development League Lower - Midland South/West B,7-May,May,Blackbridge Athletics Track,Gloucester,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.235105,51.853862
UK Youth Development League Lower - Norther Premier East,7-May,May,University of York,York,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.031459294,53.9453903
UK Youth Development League Lower - Norther Premier West,7-May,May,Longford Park Athletics Stadium,Stretford,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.28935,53.44636
UK Youth Development League Lower - Northern East 1,7-May,May,Shu City Athletics Stadium (Woodbourn Road),Sheffield,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.4324375,53.3894375
UK Youth Development League Lower - Northern West 1,7-May,May,Ellesmere Port Sports Village,Ellesmere Port,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.894311448,53.26567295
UK Youth Development League Lower - Northern West 2,7-May,May,Macclesfield Athletics Track,Macclesfield,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.165140807,53.2681353
UK Youth Development League Lower - Northern 3N - no hammer or discus,7-May,May,Victoria Park Arena,Warrington,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.573880055,53.38632335
UK Youth Development League Lower - Northern 3N - no hammer or discus,7-May,May,Victoria Park Arena,Warrington,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.573880055,53.38632335
UK Youth Development League Lower - Southern Premier,7-May,May,Norman Park Athletic Track,Bromley,1,,https://www.ukydl.org.uk/,OUT 23/311,0.0213125,51.3868125
UK Youth Development League Lower - Southern 1A,7-May,May,University of Winchester,Winchester,1,,https://www.ukydl.org.uk/,OUT 23/311,-1.3038125,51.05431249
UK Youth Development League Lower - Southern 2A,7-May,May,Woking Sportsbox (Hoe Valley),Woking,1,,https://www.ukydl.org.uk/,OUT 23/311,-0.5741875,51.29981249
UK Youth Development League Lower - Southern 3A,7-May,May,Woking Sportsbox (Hoe Valley),Woking,1,,https://www.ukydl.org.uk/,OUT 23/311,-0.5741875,51.29981249
UK Youth Development League Lower - Southern 1B,7-May,May,Bedford International Athletics Stadium,Bedford,1,,https://www.ukydl.org.uk/,OUT 23/311,-0.4418125,52.1336875
UK Youth Development League Lower - Southern 2B - no hammer or discus,7-May,May,Central Park Athletics Arena,Dartford,1,,https://www.ukydl.org.uk/,OUT 23/311,0.220864,51.441631
UK Youth Development League Lower - Scottish Division 1,7-May,May,Grangemouth Sports Stadium,Grangemouth,1,,https://www.ukydl.org.uk/,OUT 23/311,-3.7081875,56.0053125
UK Youth Development League Lower - Scottish Division 2,7-May,May,Grangemouth Sports Stadium,Grangemouth,1,,https://www.ukydl.org.uk/,OUT 23/311,-3.7081875,56.0053125
UK Youth Development League Lower - Scottish North East,7-May,May,Aberdeen Sports Village - Outdoor,Aberdeen,1,,https://www.ukydl.org.uk/,OUT 23/311,-2.093606,57.162666
Eastern Masters League,9-May,May,Embankment Athletics Track,Peterborough,1,,https://emac.org.uk/2023-tf-league/,OUT 23/214,-0.233043,52.570904
West Yorkshire League,10-May,May,Thornes Park Athletics Stadium,Wakefield,1,,www.wakefield -harriers.co.uk/wytfl/wyl23index.htm,OUT 23/078,-1.51464,53.67606
Eastern Masters League,10-May,May,Stantonbury Stadium,Milton Keynes,1,,https://emac.org.uk/2023-tf-league/,OUT 23/214,-0.769329,52.058685
Eastern Masters League,10-May,May,Southend Leisure & Tennis Centre Athletics Track,Southend,1,,https://emac.org.uk/2023-tf-league/,OUT 23/214,0.73458859,51.5546036
Isle of Man League,10-May,May,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
University of Birmingham Track & Field Series,10-May,May,University of Birmingham,Birmingham (Un),2,,,OUT 23/227,-1.93012,52.45082
British Milers Regional Meeting,10-May,May,Linford Christie Stadium,Wormwood Scrubs,1,,https://www.britishmilersclub.com/,OUT 23/256,-0.235065,51.519692
BMC Gold Standard Races,10-May,May,University of Birmingham,Birmingham (U),2,WA F,https://www.britishmilersclub.com/,OUT 23/257,-1.93012,52.45082
Thames Valley Harriers Open Meeting,10-May,May,Linford Christie Stadium,Wormwood Scrubs,1,,https://entry4sports.co.uk/#/,OUT 23/327,-0.235065,51.519692
Midland Veterans League - South,10-May,May,Nunnery Wood Sports Complex,Worcester,1,,https://mvtfl.wordpress.com/,OUT 23/330,-2.187315871,52.18499495
Natasha Lewis Open,10-May,May,University of Bath Athletics Track,Bath,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13568,OUT 23/343,-2.3221875,51.3778125
East Midlands Disability Athletics Championships,11-May,May,Saffron Lane Stadium,Leicester,1,,,OUT 23/242,-1.134269109,52.6137
Scottish North District Championships,12-May,May,Queens Park Athletics Stadium,Inverness,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/158,-4.225739,57.4790124
Scottish National Outdoor Open,12-May,May,Queens Park Athletics Stadium,Inverness,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-4.225739,57.4790124
Wiltshire County Championships ,12-May,May,County Ground Track - Swindon,Swindon,1,,,OUT 23/222,-1.77101507,51.56446595
Belfast Irish Milers meet in Association with Tripadvisor,13-May,May,Mary Peters Stadium,Belfast,2,WA D,https://www.irishmilersclub.org/,OUT 23/010,-5.967179,54.548531
Greater Manchester AA County Championships,13-May,May,Leigh Sports Village,Leigh,2,WA F,https://www.race-results.co.uk/results/2023/,OUT 23/021,-2.5305682,53.4883788
Cambridgeshire County Championships,13-May,May,Embankment Athletics Track,Peterborough,1,, https://data.opentrack.run/en-gb/x/2023/GBR/cambstf23/,OUT 23/074,-0.233043,52.570904
Somerset County Championships,13-May,May,Bill Whistlecroft Stadium (Yeovil Athletics Arena),Yeovil,1,,https://www.somerset-athletics.co.uk/,OUT 23/122,-2.6318629,50.9420451
Warwickshire County Championships,13-May,May,The Pingles Stadium,Nuneaton,2,,,OUT 23/127,-1.464162493,52.515688
North East County Championships,13-May,May,Middlesbrough Sports Village,Middlesbrough,2,WA F,https://necaa.weebly.com/,OUT 23/145,-1.210556246,54.54434965
Cheshire County Championships,13-May,May,Ellesmere Port Sports Village,Ellesmere Port,1,,http://www.cheshireaa.com,OUT 23/150,-2.894311448,53.26567295
Scottish North District Championships,13-May,May,Queens Park Athletics Stadium,Inverness,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/158,-4.225739,57.4790124
Scottish East District Championships,13-May,May,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/159,-3.7081875,56.0053125
Scottish National Outdoor Open,13-May,May,Queens Park Athletics Stadium,Inverness,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-4.225739,57.4790124
Scottish National Outdoor Open,13-May,May,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-3.7081875,56.0053125
Scottish National Outdoor Open,13-May,May,Ayrshire Athletics Arena,Kilmarnock,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-4.480037,55.599577
Scottish West District Championships,13-May,May,Ayrshire Athletics Arena,Kilmarnock,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/166,-4.480037,55.599577
Humber & Lincolnshire County Championships - day 1,13-May,May,Costello Stadium,Hull,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13672,OUT 23/169,-0.4107359,53.7372742
Berkshire Athletics County Championships,13-May,May,Palmer Park Athletic Track,Reading,1,,,OUT 23/203,-0.9696512,51.456659
Avon County Championships,13-May,May,Yate Outdoor Sports Complex,Yate,1,,  https://www.entrycentral.com/festival/3551,OUT 23/221,-2.4243125,51.55581249
Wiltshire County Championships ,13-May,May,County Ground Track - Swindon,Swindon,1,,,OUT 23/222,-1.77101507,51.56446595
Nottinghamshire & Derbyshire County Championships,13-May,May,Harvey Hadden Athletic Stadium,Nottingham,1,,,OUT 23/243,-1.216395,52.968063
Yorkshire County Championships,13-May,May,Dorothy Hyman Sports Centre,Cudworth,2,WA F,https://www.race-results.co.uk/results/2023/,OUT 23/347,-1.411029309,53.57425995
Norfolk County Championships ,13-May,May,Sportspark at UEA,Norwich,1,,,OUT 23/248,1.2410625,52.6238125
Northamptonshire & Leicestershire & Rutland County Championships ,13-May,May,Rockingham Triangle Sports Stadium (Corby),Corby,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13662,OUT 23/254,-0.71468749,52.5070625
Kent County Championships,13-May,May,Norman Park Athletic Track,Bromley,2,WA F,,OUT 23/267,0.0213125,51.3868125
Hertfordshire & Bedfordshire County Championships,13-May,May,Woodside Stadium,Watford,1,,http://hertscaaa.org.uk/,OUT 23/271,-0.3945440682,51.69587595
Essex County Championships,13-May,May,Blackshots Athletic Stadium (Thurrock),Grays,2,WA,https://meets.rosterathletics.com/public/competitions/details/participants?id=13894,OUT 23/289,0.3470567,51.4935653
Buckinghamshire & Oxfordshire County Championships,13-May,May,Oxford Horspath Athletics Stadium,Horspath,2,,https://meets.rosterathletics.com/public/competitions/details/about?id=14214,OUT 23/297,-1.1871875,51.7374375
Worcestershire County Championships,13-May,May,Alan Moreton Track (Stourport),Stourport,1,,,OUT 23/304,-2.280539,52.34658
Hampshire County Championships,13-May,May,Mountbatten Centre,Portsmouth,2,WA,,OUT 23/332,-1.082616998,50.82464535
Surrey County Championships,13-May,May,Weir Archer Athletics Track (Kingsmeadow),Kingston,2,WA,https://data.opentrack.run/en-gb/x/2023/GBR/tfsurrey/,OUT 23/334,-0.2836903,51.4052927
Cornwall County Championships,13-May,May,Royal Duchy Athletics Track,Carn Brea,1,,https://www.cornwallac.org.uk/content/FixturesDetail.asp?ID=1354,OUT 23/365,,
Greater Manchester AA County Championships,14-May,May,Leigh Sports Village,Leigh,2,WA F,https://www.race-results.co.uk/results/2023/,OUT 23/021,-2.5305682,53.4883788
Dorset County Championships,14-May,May,Kings Park Athletic Track,Bournemouth,1,,,OUT 23/058,-1.8339375,50.7334375
Somerset County Championships,14-May,May,Bill Whistlecroft Stadium (Yeovil Athletics Arena),Yeovil,1,,https://www.somerset-athletics.co.uk/,OUT 23/122,-2.6318629,50.9420451
North East County Championships,14-May,May,Middlesbrough Sports Village,Middlesbrough,2,WA F,https://necaa.weebly.com/,OUT 23/145,-1.210556246,54.54434965
Cheshire County Championships,14-May,May,Ellesmere Port Sports Village,Ellesmere Port,1,,http://www.cheshireaa.com,OUT 23/150,-2.894311448,53.26567295
Scottish East District Championships,14-May,May,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/159,-3.7081875,56.0053125
Scottish National Outdoor Open,14-May,May,Grangemouth Sports Stadium,Grangemouth,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-3.7081875,56.0053125
Scottish National Outdoor Open,14-May,May,Ayrshire Athletics Arena,Kilmarnock,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/165,-4.480037,55.599577
Scottish West District Championships,14-May,May,Ayrshire Athletics Arena,Kilmarnock,2,WA F,https://scottishathletics.sportserve.net/pages/event/athletics/athleticsfixturelist.aspx?pid=10000,OUT 23/166,-4.480037,55.599577
Humber and Lincolnshire County Championships - day 2,14-May,May,South Kesteven Sports Stadium (Grantham),Grantham,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13672,OUT 23/177,-0.6668353498,52.9057479
